codepoint	count	example
U+E121	1	Sources\Controls\WpfHexEditor.Terminal\TerminalPanel.xaml  <TextBlock Text="&#xE121;" FontFamily="Segoe MDL2 Assets" FontSize="13" Foregrou
U+E174	2	Sources\Plugins\WpfHexEditor.Plugins.XamlDesigner\Panels\ResourceBrowserPanel.xaml  <TextBlock FontFamily="Segoe MDL2 Assets" FontSize="12" Text="&#xE174;"/> <Butto
U+E700	1	Sources\Samples\WpfHexEditor.Sample.Docking\MainWindow.xaml  <TextBlock DockPanel.Dock="Left" Text="&#xE700;" FontFamily="Seg
U+E706	2	Sources\Samples\WpfHexEditor.Sample.CodeEditor\MainWindow.xaml  <TextBlock FontFamily="Segoe MDL2 Assets" Text="&#xE706;" FontSize="11" Vertical
U+E708	2	Sources\Samples\WpfHexEditor.Sample.CodeEditor\MainWindow.xaml  <TextBlock FontFamily="Segoe MDL2 Assets" Text="&#xE708;" FontSize="11" Vertical
U+E70D	13	Sources\Controls\WpfHexEditor.Terminal\TerminalPanel.xaml  <TextBlock Text="&#xE70D;" FontFamily="Segoe MDL2 Assets" 
U+E70E	3	Sources\Editors\WpfHexEditor.Editor.DocumentEditor\Controls\DocumentStructurePane.xaml  <TextBlock FontFamily="Segoe MDL2 Assets" Text="&#xE70E;" FontSize="11"/> </Butt
U+E70F	9	Sources\Editors\WpfHexEditor.Editor.CodeEditor\Controls\FormatScriptEditorControl.xaml  <TextBlock Text="&#xE70F;" FontFamily="Segoe MDL2 Assets" FontSize="14" Margin="
U+E710	10	Sources\Controls\WpfHexEditor.Terminal\TerminalPanel.xaml  <TextBlock Text="&#xE710;" FontFamily="Segoe MDL2 Assets" FontSize="11" Foregrou
U+E711	21	Sources\Controls\WpfHexEditor.Terminal\TerminalPanel.xaml  <TextBlock Text="&#xE711;" FontFamily="Segoe MDL2 Assets" FontSize="13" Foregrou
U+E712	17	Sources\Controls\WpfHexEditor.Terminal\TerminalPanel.xaml  <TextBlock Text="&#xE712;" FontFamily="Segoe MDL2 Assets" FontSize="13" Foregrou
U+E713	10	Sources\Editors\WpfHexEditor.Editor.DocumentEditor\Controls\DocumentEditorHost.xaml  <TextBlock FontFamily="Segoe MDL2 Assets" Text="&#xE713;" FontSize="13"/> </Butt
U+E718	1	Sources\Editors\WpfHexEditor.HexEditor\HexEditor.xaml  <TextBlock Text="&#xE718;" FontFamily="Segoe MDL2 Assets" FontSize="13" Foregrou
U+E719	1	Sources\WpfHexEditor.App\MainWindow.xaml  <TextBlock Text="&#xE719;" FontFamily="Segoe MDL2 Assets" FontSize="13" Fore
U+E71A	7	Sources\Controls\WpfHexEditor.Terminal\TerminalPanel.xaml  <TextBlock Text="&#xE71A;" FontFamily="Segoe MDL2 Assets" FontSize="13" Foregrou
U+E71B	6	Sources\Editors\WpfHexEditor.Editor.DocumentEditor\Controls\DocumentEditorHost.xaml  <TextBlock FontFamily="Segoe MDL2 Assets" Text="&#xE71B;" FontSize="13"/> </Butt
U+E71C	2	Sources\Plugins\WpfHexEditor.PluginHost\UI\PluginMonitoringPanel.xaml  <TextBlock Text="&#xE71C;" FontFamily="Segoe MDL2 Assets" FontSize="11"/> </Men
U+E71D	1	Sources\Editors\WpfHexEditor.Editor.DocumentEditor\Controls\DocumentStructurePane.xaml  <TextBlock FontFamily="Segoe MDL2 Assets" Text="&#xE71D;" FontSize="11"/> </Togg
U+E71E	2	Sources\WpfHexEditor.App\Dialogs\ImportEmbeddedFormatDialog.xaml  <TextBlock Grid.Column="0" Text="&#xE71E;" FontFamily="Segoe MDL2 Assets
U+E71F	4	Sources\Controls\WpfHexEditor.Terminal\TerminalPanel.xaml  <TextBlock Text="&#xE71F;" FontFamily="Segoe MDL2 Assets" FontSize="13" Foregrou
U+E721	22	Sources\Core\WpfHexEditor.Core.Options\OptionsEditorControl.xaml  <TextBlock Grid.Column="0" Text="&#xE721;" FontF
U+E724	1	Sources\Plugins\WpfHexEditor.Plugins.AIAssistant\Panel\Tabs\ConversationTab.xaml  <TextBlock Text="&#xE724;" FontFamily="Segoe MDL2 Assets" FontSize="12" Foregrou
U+E72B	1	Sources\WpfHexEditor.App\AssemblyExplorer\Controls\AssemblyTreeView.xaml  <TextBlock Text="&#xE72B;" FontFamily="Segoe MDL2 Assets" FontSize="12"/> </Menu
U+E72C	22	Sources\Editors\WpfHexEditor.Editor.ImageViewer\Controls\ImageViewer.xaml  <TextBlock Text="&#xE72C;" FontFamily="Segoe MDL2 Assets" FontSize="13"/> </Menu
U+E72D	1	Sources\Plugins\WpfHexEditor.Plugins.XamlDesigner\Panels\DesignHistoryPanel.xaml  <TextBlock Text="&#xE72D;" FontFamily="Segoe MDL2 Assets" 
